"P9_9","descrip"
"1","¿sabe lo que significa y podría explicárselo a alguien sin dificultad?"
"2","¿sabe más o menos lo que significa, pero le costaría explicárselo a alguien?"
"3","No sabe qué significa"
"9","Prefiere no responder"
