"P8_4_06","descrip"
"1","La actividad no existía"
"2","No cumplía los requisitos para participar"
"3","Decidió no participar"
"4","No le interesa, no tuvo la necesidad de realizar esa actividad"
"8","No sabe"
"9","Prefiere no responder"
