"P3_11","descrip"
"1","jornalero(a) o peón(a)?"
"2","empleado(a) u obrero(a)?"
"3","trabajador(a) por su cuenta? (no contrata trabajadores[as])"
"4","patrón(a) o empleador(a)? (contrata trabajadores[as])"
"5","trabajador(a) sin pago?"
