"NIV","descrip"
"00","Ninguno "
"01","Preescolar"
"02","Primaria "
"03","Secundaria "
"04","Carrera técnica con secundaria terminada"
"05","Normal básica (con antecedente de secundaria)"
"06","Preparatoria o bachillerato"
"07","Carrera técnica con preparatoria terminada"
"08","Licenciatura o profesional"
"09","Maestría"
"10","Doctorado"
"99","No sabe / no responde"
