"Encuesta Nacional de Confianza en la Administración Pública 2025",
,
"Nombre de archivo","Título de Tablas"
"conjunto_de_datos_tviv_encoap2025","Cuestionario general sección I y II"
"conjunto_de_datos_tsdem_encoap2025","Cuestionario general sección III"
"conjunto_de_datos_tb_sec_ivaix_encoap2025","Cuestionario general sección IV, V, VI, VII, VIII, IX"
