"ID_VIV","ID_PER","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","R_INF","SEL_D","SEL_M","N_REN","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","NIV","GRA","P3_8","P3_9","P3_10","P3_11","FAC_VIV","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0100195.03","0100195.03.03","0100195","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","03","3","1","26","13","05","2","08","5","2","1","","3","6438.863900131","0","U","0002","0002"
"0100195.04","0100195.04.01","0100195","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","01","1","1","53","05","08","2","03","3","2","1","","2","6438.863900131","0","U","0002","0002"
"0100195.04","0100195.04.02","0100195","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","02","2","2","54","25","06","2","03","3","2","5","1","3","6438.863900131","0","U","0002","0002"
"0100195.04","0100195.04.03","0100195","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","03","3","2","25","30","12","1","08","4","1","4","4","","6438.863900131","19316.591700393","U","0002","0002"
"0100195.04","0100195.04.04","0100195","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","04","5","1","02","","","","","","","","","","6438.863900131","0","U","0002","0002"
"0100195.05","0100195.05.01","0100195","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","1","28","23","02","1","03","3","2","1","","3","6438.863900131","12877.727800262","U","0002","0002"
"0100195.05","0100195.05.02","0100195","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","02","2","2","24","15","06","2","03","3","2","1","","3","6438.863900131","0","U","0002","0002"
"0100195.05","0100195.05.03","0100195","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","03","3","1","05","","","","01","1","1","","","","6438.863900131","0","U","0002","0002"
"0100195.05","0100195.05.04","0100195","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","04","3","2","01","","","","","","","","","","6438.863900131","0","U","0002","0002"
"0100590.03","0100590.03.01","0100590","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","30","09","01","1","1","39","13","12","2","08","5","2","1","","2","5869.0367879303","0","U","0003","0003"
"0100590.03","0100590.03.02","0100590","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","30","09","02","2","2","39","26","10","1","08","5","2","1","","4","5869.0367879303","11738.0735758606","U","0003","0003"
"0100590.03","0100590.03.03","0100590","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","30","09","03","3","2","08","","","","02","1","1","","","","5869.0367879303","0","U","0003","0003"
"0100590.04","0100590.04.01","0100590","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","01","1","1","54","28","11","2","08","5","2","1","","2","5869.0367879303","0","U","0003","0003"
"0100590.04","0100590.04.02","0100590","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","02","2","2","52","07","12","2","09","3","2","1","","2","5869.0367879303","0","U","0003","0003"
"0100590.04","0100590.04.03","0100590","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","03","3","2","19","07","10","1","08","2","1","4","4","","5869.0367879303","17607.1103637909","U","0003","0003"
"0100590.05","0100590.05.01","0100590","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","01","10","01","1","1","74","13","03","1","02","6","2","1","","4","5869.0367879303","11738.0735758606","U","0003","0003"
