LON,LAT,EDO,CLAVE,ESTACION,mar-23
-110.238611,30.598889,SON,BCNSO,"Bacanuchi, Son.",5.6
-108.931667,30.355278,SON,BCRSO,"Bacerac, Son.",2.51
-108.860833,27.421667,SON,BICSO,"Bicentenario, Son. SGT*",13.51
-112.435278,30.771944,SON,CABORCA,"Caborca, Son. SMN*",7.2
-110.290833,30.98,SON,CNNSO,"Cananea, Son.",9.51
-108.7625,26.603611,SON,CZNSO,"Cazanate, Son.",0
-109.625,27.416667,SON,CCRSO,"Cocoraque, Son.",7.01
-111.516389,30.873333,SON,CHTSO,"Cuauhtémoc, Son.",34
-110.736389,29.472222,SON,CJNSO,"El Cajón, Son.",0
-109.233333,29.2,SON,ECBSO,"El Cubil, Son.",4.1
-113.304722,31.68,SON,PINACATE,"El Pinacate, Son. SMN*",6.4
-110.85,27.95,SON,GYMSO,"Guaymas, Son.",2.2
-110.925833,29.073056,SON,HMNSO,"Hermosillo, Son.",2.81
-108.957222,30.210556,SON,HSHSO,"Huachinera, Son.",10
-110.396944,28.426389,SON,IRASO,"Ignacio R. Alatorre, Son.",3
-110.886944,30.761667,SON,IMRSO,"Imuris, Son.",8
-110.725556,29.2125,SON,PMOSO,"Ing. Rodolfo Félix Valdés, Son.",3.51
-109.378889,30.437778,SON,LCDSO,"Lázaro Cárdenas, Son.",2.8
-109.443333,27.071944,SON,NVJSO,"Navojoa, Son.",2.5
-110.947222,31.318889,SON,NGLSO,"Nogales, Son.",19.8
-110.913889,31.297778,SON,NOGALES,"Nogales, Son. SMN*",19.8
-109.930556,27.372222,SON,OBOSO,"Observatorio Cd. Obregón, Son. SMN*",2.11
-111.733333,30.716667,SON,ALTSO,"Observatorio de Altar, Son.",10
-109.938056,27.5,SON,COBSO,"Observatorio de Ciudad Obregón, Son.",7.01
-110.8,27.95,SON,EPLSO,"Observatorio de Empalme, Son.",3
-110.8,27.95,SON,EMPALMEob,"Observatorio de Empalme, Son. SMN*",3
-110.916667,29.066667,SON,HM2SO,"Observatorio de Hermosillo, Son.",2.21
-109.6875,30.374444,SON,NCZSO,"Observatorio de Nacozari, Son.",2.4
-113.550833,31.352778,SON,PT2SO,"Observatorio de Puerto Peñasco, Son.",1.5
-109.083333,29.433333,SON,PDNSO,"Paso Nácori, Son.",0.01
-112.116667,30.697778,SON,PTQSO,"Pitiquito, Son.",5.3
-109.642222,28.976667,SON,PECSO,"Plutarco Elías Calles, Son.",4
-110.308333,28.472222,SON,PTASO,"Punta de Agua 2, Son.",2.41
-111.021389,30.050556,SON,QRBSO,"Querobabi, Son.",4
-110.570556,29.707778,SON,RAYSO,"Rayón, Son.",0
-108.876667,27.411944,SON,SBNSO,"San Bernardo, Son.",13.51
-110.239167,28.713333,SON,SJPSO,"San José de Pimas, Son.",3
-111.445278,30.394722,SON,SRSSO,"Santa Rosa 2, Son.",0.02
-112.85,31.866667,SON,NYNSO,"Sonoyta, Son.",10.21
-112.846389,31.865278,SON,SONOYTA,"Sonoyta, Son. SMN*",11.39
-109.5,29.534722,SON,TPCSO,"Tepache, Son.",0.5
-109.2125,27.658333,SON,TSOSO,"Tesocoma, Son.",13.51
-110.289722,27.643611,SON,VCMSO,"Vícam, Son.",6.5
-108.927778,28.371389,SON,YCRSO,"Yécora, Son.",35.52
-91.535,17.756667,TAB,BALANCANHM,"Balancán, Tab. SGT*",35
-91.483333,17.433333,TAB,BDCTB,"Boca del Cerro, Tab.",103.3
-93.362778,17.865,TAB,CAMOAPA,"Camoapa, Tab. SGT*",0.4
-93.376389,18.001111,TAB,CARTB,"Cárdenas, Tab.",37
-92.814722,18.043611,TAB,EPOTB,"El Porvenir, Tab.",99.1
-93,17.975,TAB,GONTB,"González, Tab.",133.9
-93.066667,17.966667,TAB,GONZALEZ,"González, Tab. SGT*",135.1
