LON,LAT,EDO,CLAVE,ESTACION,jul_23
-100.075833,19.383333,MEX,LBEMX,"Los Berros, Méx.",200.71
-99.220833,19.477778,MEX,MBLMX,"Molino Blanco, Méx.",177.03
-99.243333,19.473889,MEX,NAUCALPAN,"Naucalpan, Méx. UNAM*",172.94
-99.683333,19.116667,MEX,NEVMX,"Nevado de Toluca, Méx. SMN*",178.57
-99.420833,18.990833,MEX,OCUMX,"Ocuilán de Arteaga, Méx",293.73
-99.254722,19.429722,MEX,PALMASDF,"Palmas, Méx. SACMEX*",184.65
-99.181944,19.743056,MEX,PCGMX,"Puente Colgante, Méx.",159.05
-99.728333,18.928333,MEX,PDZMX,"Porfirio Díaz, Méx.",216
-99.790278,19.829167,MEX,PFBMX,"Francisco José Trinidad Fabela, Méx.",201
-99.775,19.461667,MEX,PIRMX,"Ignacio Ramírez, Méx.",165.5
-99.260833,19.526944,MEX,PMDMX,"Madín, Méx.",312.3
-99.948889,19.654444,MEX,PMEMX,"Puente Mextepec, Méx.",138.83
-99.739722,20.124167,MEX,PMNMX,"El Molino, Méx.",65.55
-99.864444,20.038611,MEX,PNDMX,"Ñadó, Méx.",119
-99.283333,19.453611,MEX,PTLMX,"Presa Totolica, Méx.",240.3
-99.603333,19.213333,MEX,RECMX,"Rectoría, Méx.",241.6
-98.911111,19.530556,MEX,SADMX,"San Andrés, Méx.",91.2
-99.228056,19.436667,MEX,SANJOAQUINDF,"Tanque San Joaquín, Cd. de Méx. SACMEX*",76.96
-99.703889,19.465556,MEX,SB2MX,"San Bernabé, Méx.",127
-99.704722,19.465833,MEX,SBBMX,"José Antonio Alzate, Méx.",155
-99.764722,19.238333,MEX,SJHMX,"San Juan de las Huertas, Méx.",289.2
-98.870833,19.190278,MEX,SLAMX,"San Luis Ameca, Méx.",118.01
-99.741667,19.591667,MEX,SLBMX,"San Bartolo del Llano, Méx.",175
-99.8,19.633333,MEX,SMLMX,"Santa María del Llano, Méx.",331
-98.858611,19.644722,MEX,SNLMX,"San Lucas, Méx",147.6
-99.799167,19.343056,MEX,TBRMX,"Tres Barrancas, Méx.",195.32
-99.935833,18.931389,MEX,TESMX,"Texcaltitlán, Méx.",184.5
-99.905278,19.856944,MEX,TJCMX,"El Tejocote, Méx.",216.72
-100.053056,19.058056,MEX,TMSMX,"Temascaltepec, Mex.",190.41
-99.283333,19.453889,MEX,TOTMX,"Totolica, Méx",176.32
-99.961389,19.660833,MEX,TPTMX,"San Andrés Tepetitlán, Méx.",163.83
-99.6125,19.429167,MEX,TROMX,"Trojes, Méx.",259.54
-99.283056,19.4525,MEX,TTLMX,"Totolica hidrométrica, Méx.",223
-99.123889,19.904722,MEX,TTQMX,"Tajo de Tequixquiac, Méx",99.58
-99.385278,19.834722,MEX,TXMHD,"Taxhimay, Méx.",197.03
-100.084722,19.375556,MEX,VALLEDEBRAVO,"Valle de Bravo, Méx. SMN*",186.98
-99.213611,19.510833,MEX,VASOCRISTO,"Vaso de Cristo, Méx. SACMEX*",114.001
-100.18,19.2075,MEX,VBRMX,"Valle de Bravo, Méx.",225.72
-100.055556,19.461667,MEX,VVCMX,"Villa Victoria, Méx.",279.41
-101.99,20.231389,MICH,ADUMC,"Adjuntas, Mich.",123.41
