clave,lat,lon,estacion,edo,abr-23
SRLBS,-112.272778,27.337778,Santa RosalÌa,BCS,0
SRSJL,-103.705556,20.908889,Manuel M. DiÈguez,JAL,0
SRSSO,-111.445278,30.394722,Santa Rosa 2,SON,0
SRTGJ,-101.066944,20.298333,Santa Rita,GTO,0
SRTPB,-98.582222,19.330278,Santa Rita Tlahuapan,PUE,36.5
STDOX,-96.55,18.05,Santo Domingo,OAX,52.11
STETP,-99.274167,24.0225,Santa Engracia,TAMPS,71.74
STEZC,-103.495833,22.326667,Independencia Nacional,ZAC,0
STRSL,-99.055833,22.02,Santa Rosa,SLP,46.2
STRZC,-103.108889,22.923611,Santa Rosa,ZAC,0.01
SUCHIATE,-92.148889,14.698611,Suchiate SMN,CHIS,0.5
SUMIDEROCFE,-93.034167,16.742778,CaÒÛn del Sumidero CFE,CHIS,4.5
SVTSL,-98.617222,21.692778,San Vicente,SLP,61.31
TAMVC,-96.488889,19.338889,Tamarindo,VER,95
TAPTB,-92.778611,17.456944,Tapijulapa,TAB,0
TAPVC,-96.966667,19.45,Tapachapan,VER,176.6
TAXGR,-99.605278,18.554444,Taxco,GRO,39
TAYZC,-102.864167,22.120556,Ing. Juli·n Adame Alatorre,ZAC,0.01
TCAJL,-102.583333,21.45,Teocaltiche,JAL,0.01
TCHZC,-103.879722,23.471944,Chalchihuites,ZAC,0
TCMCM,-103.867778,18.911667,Tecom·n,COL,0
TCOVC,-96.966667,19.383333,Teocelo,VER,186
TCTJL,-104.320278,20.036111,Tacot·n,JAL,0
TDRDR,-106.538056,24.702222,El Tule del Real,DGO,0
TDRPB,-97.7925,20.004444,Tepango de RodrÌguez,PUE,235.5
TEATB,-92.966667,17.566667,Teapa,TAB,30.7
TECPB,-97.7525,18.878889,Tecamachalco,PUE,92.8
TEHPB,-97.395556,18.479167,Tehuac·n,PUE,9.1
TELPB,-98.777222,18.451944,Teotlalco,PUE,15
TEMGJ,-101.3,20.6,TemascatÌo,GTO,0
TEMMR,-99.223611,18.856944,Temixco,MOR,11.81
TEMOX,-96.412222,18.232222,Presidente Alem·n,OAX,90.4
TENJL,-103.198611,22.171944,Tenasco,JAL,0
TEOPB,-97.805833,19.829444,Tetela de Ocampo,PUE,53.5
TEPMC,-100.229167,20.000278,Tepuxtepec,MICH,1.1
TEPNR,-104.891944,21.489444,Observatorio de Tepic,NAY,0
TEPPB,-97.9475,20.21,Tepexic,PUE,235.5
TEQOX,-95.6,16.416667,Tequisistl·n,OAX,0
TEZDF,-99.098889,19.385556,Tezontle SMN,DF,5.08
TEZPB,-97.359722,19.815278,Teziutl·n,PUE,83.503
TICMR,-99.103889,18.794167,Ticum·n,MOR,5.6
TICYC,-89.558056,20.397778,Ticul,YUC,2.8
TIESL,-100.548333,21.629444,La MuÒeca,SLP,0.01
TILMR,-99.306111,18.487778,Tilzapotla,MOR,17.92
TIZYC,-88.1725,21.158611,TizimÌn,YUC,0
TLAGR,-99.976389,17.789722,Tlacotepec,GRO,0.01
TLAJL,-103.316667,20.583333,Tlaquepaque,JAL,0
TLAJOMULCO,-103.419444,20.4425,Tlajomulco SMN,JAL,0
TLAXCALALTON,-97.876111,20.315278,Tlaxcalaltongo SGT,PUE,167.6
TLCMR,-98.943611,19.038056,Tlacualera,MOR,0.01
TLGHD,-98.369444,20.083333,Observatorio de Tulancingo,HGO,20.24
TLLZC,-103.309444,21.773611,Tlaltenango,ZAC,0
TLOMR,-98.75,18.813333,Tlacotepec,MOR,22.41
TLPPB,-96.849722,18.405,Tlacotepec de DÌaz,PUE,91.001
TMAMR,-99.241667,19.054167,Tres MarÌas,MOR,19.85
TMCCH,-107.85,28.95,TemÛsachic,CHIH,5.5
TMCMR,-98.786944,18.778056,Temoac,MOR,1.7
TMISL,-98.773333,22.003611,Observatorio de TamuÌn,SLP,55.91
TMLJL,-104.370278,19.976111,General RamÛn Corona Madrigal,JAL,0
TMOVC,-94.163333,17.571944,Tierra Morada,VER,12
TMPTP,-97.876111,22.238333,Tampico,TAMPS,19
TMPVC,-98.409444,21.499722,Tempoal,VER,154.2
TMSTP,-98.422778,22.423889,TamesÌ,TAMPS,36.41
TMTSL,-98.758889,21.241111,Temamatla,SLP,212.6
TMUMC,-100.299167,19.766389,Tercer Mundo,MICH,0
TNCVC,-96.916667,19.811111,Tenochtitl·n,VER,202.9
TOMVC,-97.2225,19.921944,Tomata,VER,115.31
TORCL,-103.45,25.541667,Observatorio de TorreÛn,COAH,0.01
TORSI,-105.846944,23.088333,Las Tortugas,SIN,0
TOTMR,-98.92,18.9875,Totoloapan,MOR,8.8
TOTVC,-96.950278,19.233611,Totutla,VER,193.12
TPCSO,-109.5,29.534722,Tepache,SON,0
TPICP,-93.529167,15.875,Tres Picos,CHIS,16.8
TPLMR,-98.843611,18.596389,Tepalcingo,MOR,9.3
TPTMX,-99.961389,19.660833,San AndrÈs Tepetitl·n,M…X,20.67
TPYPB,-97.491944,19.489167,Tepeyahualco,PUE,25.806
TPZMR,-99.072778,18.971389,Tepoztl·n,MOR,2.03
TRJCM,-103.396667,18.967222,Solidaridad,JAL,0
TRPCM,-103.663333,19.2775,Trapiche,COL,0
TRRVC,-98.153056,21.039722,Terrerillos,VER,186
TSNBS,-110.210556,23.478889,Todos Santos,BCS,0
TSOSO,-109.2125,27.658333,Tesocoma,SON,0
TUXOX,-96.133333,18.083333,Tuxtepec,OAX,50.51
TUXTLACFE,-93.086111,16.761667,Tuxtla CFE,CHIS,7
TXMHD,-99.385278,19.834722,Taxhimay,HGO,14.01
TXPVC,-97.4,20.955556,Observatorio de Tuxpan,VER,93.72
TXTGR,-99.399444,17.568056,Tixtla,GRO,2.5
TZAVC,-95.416667,18.466667,Tres Zapotes,VER,9.01
TZIMBACCFE,-93.414167,17.231111,Tzimbac CFE,CHIS,23
UCFOX,-96.435278,17.933056,Usila CFE,OAX,34
UHGOX,-94.833333,16.45,UniÛn Hidalgo,OAX,0
UNICACH,-93.121944,16.778056,Universidad de Ciencias y Artes de Chiapas SGT,CHIS,0
URECH,-107.9125,27.216667,Urique,CHIH,0
UREMC,-102.137778,19.962222,Urepetiro,MICH,0
VALYC,-88.204167,20.69,Observatorio de Valladolid,YUC,0
VANOX,-96.3,17.776389,Valle Nacional,OAX,125.83
VBRMX,-100.18,19.2075,Valle de Bravo,M…X,3
VCARRANZA,-100.95,27.519444,Venustiano Carranza SMN,COAH,5.6
VCATP,-97.804167,25.906111,Villa C·rdenas,TAMPS,108.51
VCMSO,-110.289722,27.643611,VÌcam,SON,0
VCRCL,-100.616111,27.515,Venustiano Carranza,COAH,2.51
VDSGJ,-101.178889,20.382778,Valle de Santiago,GTO,0
VEGJL,-103.845833,20.596389,Ing. Santiago Camarena,JAL,0
VENPB,-97.675833,20.510278,Venustiano Carranza,PUE,102.7
VERVC,-96.111111,19.154167,Observatorio de Veracruz,VER,6.31
VGRGR,-100.265833,18.382778,Vicente Guerrero,GRO,0
VGRTP,-98.666389,23.959444,Vicente Guerrero,TAMPS,52.3
VHGDR,-104.928889,26.2425,Villa Hidalgo,DGO,4
VHGZC,-101.715833,22.3475,Villa Hidalgo,ZAC,2.01
VHMTP,-97.8,25.7,Valle Hermoso,TAMPS,113
VICCH,-105.16,26.738611,Villa Coronado,CHIH,3
VILMC,-102.180278,18.048333,JosÈ MarÌa Morelos y PavÛn,MICH,0
VILZC,-103.3375,21.588889,JosÈ MarÌa Morelos,ZAC,0
VINSI,-107.059722,24.7475,Vinoramas,SIN,0
VJIMC,-101.45,19.55,Villa JimÈnez ,MICH,0
VOCDR,-105.506111,26.447778,Villa Ocampo,DGO,5
VSMTP,-99.551111,24.566667,Victoria San Marcos,TAMPS,118.2
VTEVC,-96.613889,19.022222,Villa Tejeda,VER,76.03
VTRGR,-99.466111,18.295833,Valerio Trujano,GRO,16.7
VVCMX,-100.055556,19.461667,Villa Victoria,M…X,9.4
XCFVC,-96.85,19.55,Xalapa CFE,VER,93.82
XCPCA,-89.860278,19.664444,Xcupil,CAMP,53.5
XDJPB,-97.956944,20.277222,Xicotepec de Ju·rez,PUE,142.713
XICGJ,-100.0925,21.298889,Xich˙,GTO,8.12
XICMR,-99.190278,18.528889,Xicatlacotla,MOR,10.2
XOBVC,-96.916667,19.533333,Observatorio de Xalapa,VER,53.85
XXHGR,-98.488333,17.903889,Xochihuehuetl·n,GRO,4
YAHMR,-99.050556,18.899167,Yautepec,MOR,8.93
YAMCP,-93.330556,17.116667,YamonhÛ,CHIS,1
YAQUINTELA,-91.729722,16.909167,Yaquintela SGT,CHIS,13.6
YCRSO,-108.927778,28.371389,YÈcora,SON,0
YEPCH,-108.166667,29.666667,Yepachic,CHIH,0
YOSOX,-97.826111,17.724444,Yosocuta,OAX,24.21
YURMC,-102.242222,20.339444,YurÈcuaro,MICH,0
ZA2ZC,-102.506111,22.746667,Zacatecas SMN,ZAC,1.77
ZACOX,-95.93,17.15,Zacatepec,OAX,84.8
ZACTL,-98.243056,19.219444,Zacatelco,TLAX,31.6
ZACZC,-102.576667,22.761389,Zacatecas,ZAC,0.3
ZALVC,-97.388889,19.413889,Zalayeta,VER,13.5
ZANOX,-94.216111,16.4025,Zanatepec,OAX,0
ZCAMC,-101.795,19.805278,Zacapu,MICH,0
ZCPPB,-97.585,19.859722,Zacapoaxtla,PUE,80.5
ZCTMR,-99.196667,18.651389,Observatorio de Zacatepec,MOR,1.1
ZHTGR,-101.548889,17.645278,Zihuatanejo,GRO,0
ZICMC,-101.931944,18.921111,Zicuir·n,MICH,0
ZINMC,-100.828611,19.860278,ZinapÈcuaro,MICH,0.01
ZITTL,-97.908056,19.200278,Zitlaltepec,TLAX,40.5
ZOPSI,-108.358611,25.739167,El Zopilote,SIN,0
ZOQPB,-97.011389,18.332222,Zoquitl·n,PUE,44.003
ZRGPB,-97.832778,20.178611,Zaragoza,PUE,38.2
ZXTHD,-98.647222,20.652778,Zacualtip·n,HGO,55
TANCHACHIN,-99.146111,21.822222,TanchachÌn SGT,SLP,73.5
JDGCP,-93.381389,17.364167,Juan de Grijalva,CHIS,2.2
FARCP,-92.299167,15.126667,Finca Argovia,CHIS,26.6
PARAISO,-93.33,18.42,ParaÌso SMN,TAB,5.5
AL2SI,-107.383333,25.090278,El Varejonal hidromÈtrica,SIN,0
BOLCA,-89.743889,20.003889,BolonchÈn,CAMP,21.9
COZOX,-96.721944,15.812222,San Francisco Cozoaltepec,OAX,6.5
CRNJL,-104.780833,20.479722,Corrinchis,JAL,0
GB2SI,-108.316667,26.083333,El Sabinal hidromÈtrica,SIN,0
OCOCP,-93.150556,17.220556,Ocotepec,CHIS,15.8
RHOOX,-95.481389,16.585278,RÌo Hondo,OAX,0
SARBS,-109.995,24.083889,El Sargento,BCS,0
SPHMR,-99.042778,18.580278,San Pablo Hidalgo,MOR,9.2
XSUVC,-96.894444,19.555833,Xalapa Sumidero,VER,23.1
CHINCHORROmar,-87.300556,18.755556,Banco Chinchorro SEMAR,QROO,0
XPJCA,-89.396111,18.502222,Xpujil,CAMP,37
STTOX,-97.536667,17.726111,Santiago Teotongo,OAX,14.9
FOYOX,-97.819167,17.746389,San Francisco Yosocuta,OAX,24.52
AMTOX,-97.720556,17.533611,San Antonino Monte Verde,OAX,36.11
SLAOX,-98.1425,17.501389,Silacayo·pam,OAX,81.7
TSLOX,-97.808333,17.654444,Heroica Villa Tezoatl·n de Segura y Luna,OAX,32
GOMEZFARIAS,-99.154722,23.046667,GÛmez FarÌas SGT,TAMPS,53.6
CALOX,-98.278333,17.532778,Calihual·,OAX,6.51
LPZMC,-101.2,18.8,Los Pinzanes,MICH,0
TEPOX,-97.424444,17.550556,San Juan Teposcolula,OAX,45.8
TETMR,-98.710278,18.876389,Tetela del Volc·n,MOR,4
XMGVC,-96.935556,19.547222,Xalapa Magisterial,VER,33
XXOMR,-99.25,18.683333,Xoxocotla,MOR,1.1
ZALOX,-98.389444,17.755278,Zapotitl·n Lagunas,OAX,8.21
PTECLUBCAMP,-93.186667,16.753889,Puente Club Campestre SGT,CHIS,0.1
APAMR,-99.463611,18.68,Apacingo,MOR,30.1
CL2CH,-105.381667,27.410278,Colina hidromÈtrica,CHIH,1
ESCUINTLA,-92.67,15.33,Escuintla SMN,CHIS,0
HUIXTLA,-92.471389,15.146944,Huixtla SGT,CHIS,11
MTLPB,-97.850278,20.733056,Metlaltoyuca,PUE,86.4
SANDIEGOC,-100.730833,29.071944,San Diego JimÈnez CILA,COAH,2.25
NVAPALESTINA,-93.631667,16.493889,Nueva Palestina SGT,CHIS,0.2
LASVACASC,-100.954444,29.329167,"Las Vacas,  Ciudad AcuÒa CILA",COAH,1
TQGMR,-99.250278,18.611111,Tequesquitengo,MOR,2.71
FPZCP,-92.476111,15.346667,Finca La Paz,CHIS,31.3
ESCALONCP,-92.829444,17.373056,El EscalÛn SGT,CHIS,90.3
PLAYAROSARITO,-117.071389,32.3775,Playa Rosarito SMN,BC,0
TECATE,-116.661667,32.568611,Tecate SMN,BC,0.4
CUXTEPEQUES,-92.965278,15.727778,Finca Cuxtepeques SGT,CHIS,1.2
GONZALEZTP,-98.405278,22.798611,Gonz·lez SGT,TAMPS,41.5
MONCLOVACAMP,-90.820833,18.056944,Monclova SMN,CAMP,0
RIOTOMATLAN,-105.133611,19.998611,RÌo Tomatl·n SMN,JAL,0
LABARCA,-102.558333,20.275556,La Barca SGT,JAL,0
RioEscondidoC,-100.556944,28.667778,RÌo Escondido Villa De Fuentes CILA,COAH,0
LASTORTILLASC,-99.548333,26.816944,Las Tortillas RÌo Salado CILA,TAMPS,56.6
SANJUANGPE,-102.774444,24.631389,San Juan Guadalupe SMN,DGO,0.4
ZIHUATANEJO,-101.554167,17.645,Zihuatanejo SMN,GRO,0
BOCHIL,-92.905833,16.997222,Bochil SGT,CHIS,7.8
CUERNAVACAob,-99.233333,18.933333,Observatorio de Cuernavaca SMN,MOR,0.61
MOTOZINTLA,-92.2675,15.333333,Motozintla SGT,CHIS,0
MONTERREYCFE,-93.384444,16.0675,Monterrey CFE,CHIS,0.1
SANBARTOLO,-99.279444,19.326389,San Bartolo UNAM,DF,29.9
AJUSCO,-99.188889,19.214722,Ajusco UNAM,DF,36.83
MILPAALTA,-99.0175,19.196667,Milpa Alta UNAM,DF,19.63
BARRETALII,-99.214444,24.102778,Barretal Dos SGT,TAMPS,113.6
PTODEVALLES,-99.5975,24.184167,Puerto de Valles SGT,TAMPS,52.1
MAGUEYES,-99.546944,24.570278,Magueyes SGT,TAMPS,64.4
CANDIDOAG,-98.687222,25.118056,C·ndido Aguilar SGT,TAMPS,1.2
TGRDR,-102.785,24.563056,El Tigre,DGO,0
PCONCORDIACFE,-91.967778,15.849444,Puente Concordia CFE,CHIS,0
MINERALPOZOS,-100.501944,21.223611,Mineral de Pozos ProtecciÛn Civil,GTO,0.5
PIAOX,-96.716667,17.072778,Organismo de Cuenca PacÌfico Sur PIAE,OAX,42
CUAUTEPEC,-99.140833,19.549444,Cuautepec UNAM,M…X,15.83
UAMAZC,-99.189444,19.503333,UAM Azcapotzalco UNAM,DF,7.57
INDIOSVER,-99.119444,19.496389,Indios Verdes UNAM,DF,7.61
CCHVALLEJO,-99.140833,19.483333,CCH Vallejo UNAM,DF,11.46
NAUCALPAN,-99.243333,19.473889,Naucalpan UNAM,M…X,13.24
BONDOJITO,-99.118056,19.469722,Bondojito UNAM,DF,8.241
TACUBA,-99.186389,19.455556,Tacuba UNAM,DF,10.698
BOSQUEREAL,-99.283333,19.436389,Bosque Real UNAM,M…X,11.79
BALBUENA,-99.102778,19.423056,Balbuena UNAM,DF,8.755
HERRADURA,-99.250833,19.415833,Herradura UNAM,M…X,10.85
PANTITLAN,-99.071667,19.415,Pantitl·n UNAM,DF,7.11
CCHOTE,-99.059722,19.383889,CCH Oriente UNAM,DF,10.3
MEXICALTZI,-99.1175,19.356389,Mexicaltzingo UNAM,DF,8.982
CUAJIMALPA,-99.291667,19.355278,Memetla Cuajimalpa UNAM,DF,24.77
TAXQUENA,-99.141389,19.344444,TaxqueÒa UNAM,DF,8.412
MEYEHUALCO,-99.043889,19.3375,Meyehualco UNAM,DF,11.8
CULHUACAN,-99.105,19.323333,Culhuac·n UNAM,DF,7.709
PREPA5,-99.134722,19.307222,Prepa 5 UNAM,DF,5.61
SANBERNABE,-99.266111,19.306389,San BernabÈ UNAM,DF,23.9
NOPALERA,-99.045,19.3025,Nopalera UNAM,DF,9.2
PADIERNA,-99.2275,19.294167,Padierna UNAM,DF,13.17
XOCHIMILCO,-99.106667,19.250278,Xochimilco UNAM,DF,15.66
AMC,-99.174167,19.240833,Academia Mexicana de Ciencias UNAM,DF,22.81
ABASOLO,-98.370556,24.046667,Abasolo SGT,TAMPS,53.7
BARRETALI,-99.215278,24.103333,Barretal Uno SGT,TAMPS,85.7
FORVC,-96.9975,18.897778,FortÌn,VER,53.7
LAGUNA,-98.128333,20.135833,La Laguna FENIX,HGO,20.6
NECAXA,-98.002222,20.001667,Necaxa FENIX,PUE,65.8
NVAAPOLONIA,-98.633889,22.494444,Nueva Apolonia SGT,TAMPS,23.3
PABELARLRDGZ2,-116.908333,32.4475,Abelardo L. RodrÌguez 2 SMN,BC,0
PADILLA,-98.901944,24.041389,Padilla SGT,TAMPS,49.3
PGRANERO,-105.280833,28.95,Presa el Granero SGT,CHIH,0
PLOPEZZAMORA,-116.603333,31.891667,Presa Emilio LÛpez Zamora SMN,BC,0.2
TEPUXTEPECF,-100.229167,20.000556,Tepuxtepec FENIX,MICH,14.2
SGORDAII,-99.831389,21.320833,Sierra Gorda 2 SMN,GTO,12.6
ELCHICO,-98.716111,20.185556,El Chico SMN,HGO,14
ALTZOMONI,-98.655278,19.118611,Altzomoni SMN,M…X,19.59
VALLEDEBRAVO,-100.084722,19.375556,Valle de Bravo SGT,M…X,23.4
SANBLASmar,-105.285556,21.531389,San Blas SEMAR,NAY,0
XCRVC,-96.903889,19.542222,Xalapa Cristal,VER,33.5
LASBAYAS2,-104.785,23.711389,Las Bayas 2 SGT,DGO,2.1
ELARCOTETE,-92.584722,16.725833,El Arcotete SGT,CHIS,2.2
LMONTEBELLO,-91.73,16.114444,Lagunas de Montebello SMN,CHIS,7.8
NICOLASBRAVO,-88.923889,18.455278,Nicol·s Bravo SMN,QROO,17.5
PENITAS,-93.474444,17.463611,PeÒitas SGT,CHIS,4.2
PLABOCA,-100.128889,25.429444,Presa La Boca SGT,NL,76.3
RAUVC,-96.713889,20.157778,El Raudal,VER,43.6
ZPTJL,-103.05,22.05,El Zapote,JAL,0
ISOCORROmar,-110.953611,18.726667,Isla Socorro SEMAR,COL,0
HHTHD,-98.076111,20.46,Huehuetla,HGO,147.5
CELYC,-90.3825,20.858056,Celest˙n SMN,YUC,0
TNTYC,-89.047222,20.030278,TantaquÌn SMN,YUC,2.03
PILON,-98.867778,24.115,PilÛn SGT,TAMPS,42.9
PTEPALOMAS,-97.702778,20.445833,Puente Palomas SGT,PUE,94.3
NOGALES,-110.913889,31.297778,Nogales SMN,SON,0
PAVVC,-96.918056,19.48,Pacho Viejo,VER,88.42
OXOLOTANCFE,-92.7425,17.404444,Oxolot·n CFE,TAB,6.4
FRIAS,-101.996667,20.800556,FrÌas ProtecciÛn Civil,GTO,0
MEZCALAPA,-93.316111,17.954444,Mezcalapa SGT,TAB,3.3
SEDVC,-96.921389,19.578611,SedeÒo,VER,43.81
SJNVC,-96.130556,19.085833,San JosÈ Novillero,VER,6.51
UDSPB,-98.050833,20.176389,Universidad de la Sierra,PUE,109.603
RUMOROSA,-116.205556,32.272222,La Rumorosa SMN B.C.,BC,0
PTBBN,-116.64,31.704444,Punta Banda,BC,0.01
PILVC,-96.979722,19.588611,Piletas,VER,34.6
CTMDF,-99.196111,19.406389,Observatorio de Tacubaya,DF,6.2
LAETP,-97.953333,23.166389,La Esperanza,TAMPS,74.4
TNCSL,-99.146111,21.8225,TanchachÌn,SLP,69.5
MENTP,-98.586389,25.1175,MÈndez,TAMPS,80.7
ATBMR,-98.891389,18.931111,Atlatlahuacan Bachillerato,MOR,3.5
SJAPB,-97.208333,20.131389,San JosÈ Acateno,PUE,203.002
CAYMR,-98.714444,18.583056,Cayehuacan,MOR,5.71
TLQVC,-97.125278,18.579722,Tlaquilpa,VER,15.7
EZAPATACFE,-93.342222,17.216667,Emiliano Zapata CFE,CHIS,20.5
MUCH,-93.091389,16.7225,Museo de Chiapas de Ciencia y TecnologÌa SGT,CHIS,0
K21GR,-99.783333,16.966667,km 21,GRO,0
TLYMR,-98.9,18.9,Tlayacapan,MOR,7.2
CREDARRIAGA,-93.906111,16.2425,Cred Arriaga PC,CHIS,0
VILLAFLORES,-93.248056,16.253889,Villaflores SGT,CHIS,0.6
AZAPACCFE,-93.427222,17.253611,Aza-Pac CFE,CHIS,2.6
TRESPICOSCFE,-93.577778,16.227222,Tres Picos CFE,CHIS,0
ISLAPEREZmar,-89.681944,22.384167,Isla PÈrez SEMAR,YUC,0
CUMVC,-96.666389,19.361667,La Cumbre,VER,19
SMTPB,-98.4175,19.284167,San MartÌn Texmelucan,PUE,53.8
UNIVERSIDADLIND,-92.909722,17.178333,Universidad Lindavista SMN,CHIS,22.6
HDZSI,-109.333333,25.983333,Higuera de Zaragoza,SIN,0
LHRDR,-106.7,25.35,La Huerta,DGO,0
GDLMX,-99.252222,19.635556,Sierra de Guadalupe,M…X,39
EGCJL,-102.976111,20.681389,Ing. ElÌas Gonz·lez Ch·vez,JAL,0
CHPNR,-104.5,21.944167,Chapalagana,NAY,0
LPIOX,-95.3,16.4,Las Pilas,OAX,0
MNZVC,-94.771111,18.135278,Minzapan,VER,38.65
LFLCP,-93.561111,16.695833,Las Flores,CHIS,0
FTEJL,-102.766667,20.298056,El Fuerte,JAL,0
CJNNR,-104.450833,21.428333,Leonardo RodrÌguez Alcaine,NAY,0
BICSO,-108.860833,27.421667,Bicentenario SGT,SON,0
DORADOCFE,-92.925278,16.108333,El Dorado CFE,CHIS,1.8
IXTALTEPEC,-95.053889,16.503611,Ixtaltepec SGT,OAX,0.8
SAMARIA,-93.283333,18,Samaria SGT,TAB,48.6
TBLSL,-98.857222,21.246667,Tierra Blanca,SLP,131
CNCQR,-86.775833,21.074444,Canc˙n Radar SMN,QROO,2.03
LVEDR,-105.466111,24.185833,Las Vegas SMN,DGO,0
VILLAOCAMPO,-105.5025,26.440556,Villa Ocampo SMN,DGO,8
LLAHD,-98.128333,20.135556,La Laguna,HGO,16.37
JMORELOS,-88.703611,19.752222,JosÈ MarÌa Morelos SMN,QROO,0.4
TOPOLOBAMPOmar,-109.070278,25.590833,Topolobampo SEMAR,SIN,23.88
PORVENIR,-92.877222,18.010833,Porvenir SGT,TAB,0.9
YECVC,-96.777778,19.863889,Yecuatla,VER,149.5
PEROTESMN,-97.268333,19.545,Perote SMN,VER,2.03
PENITASCFE,-93.457778,17.445,PeÒitas CFE,CHIS,0.6
TILA,-92.426389,17.300278,Tila SGT,CHIS,4.8
TEHOX,-95.2,16.3,Tehuantepec,OAX,0
GONZALEZ,-93.066667,17.966667,Gonz·lez SGT,TAB,3.2
ELDIENTE,-100.308333,25.576944,El Diente SMN,NL,35.59
IMTMR,-99.158611,18.883611,Instituto Mexicano de TecnologÌa del Agua SMN,MOR,4.53
SFRANCISCOII,-92.951389,15.872778,San Francisco 2 SGT,CHIS,25.7
JUCOX,-95.033333,16.433333,Juchit·n,OAX,0
BOMBANA,-93.026389,16.9525,Bombana SGT,CHIS,0
RSACP,-93.989722,16.470833,Rosendo Salazar,CHIS,0
MEZCALA,-103.033333,20.316667,Mezcala Poncitl·n SGT,JAL,0
CUXTEPEQUESHM,-92.938056,15.881944,Finca Cuxtepeques hidromÈtrica SGT,CHIS,15
PRUSIA,-92.794167,15.714444,Prusia SGT,CHIS,0
SPNICHTALUCUM,-92.731389,17.035556,San Pedro Nichtalucum SGT,CHIS,0
CHIAPILLA,-92.715556,16.578056,Villa de Chiapilla SGT,CHIS,1.6
ELBURRERO,-92.828611,16.787778,El Burrero SGT,CHIS,8.3
REFORMA,-93.356111,17.883056,Reforma SGT,CHIS,0
ACHAPALAGDL,-103.133333,20.316667,Acueducto Chapala Guadalajara SGT,JAL,0
RAYSO,-110.570556,29.707778,RayÛn,SON,0
POBLADOC11,-93.622778,18.175,Poblado C11 SGT,TAB,11.1
CLHVC,-97.545,21.068333,Chalahuite,VER,55.51
CJNSO,-110.736389,29.472222,El CajÛn,SON,0
ARCSI,-108.7,25.7,Adolfo Ruiz Cortines,SIN,0
YURECUARO,-102.283333,20.333333,YurÈcuaro SGT,MICH,5.8
CABORCA,-112.435278,30.771944,Caborca SMN,SON,0
CCNBS,-111.663611,25.009722,Observatorio de Ciudad ConstituciÛn,BCS,0
GESDR,-105.25,25.5,General Escobedo,DGO,0.01
SLCDR,-104.276944,25.085,San Luis del Cordero,DGO,0.01
COBSO,-109.938056,27.5,Observatorio de Ciudad ObregÛn,SON,0
CSLBS,-109.925833,22.8975,Cabo San Lucas,BCS,0
PCORTESmar,-111.829444,24.481111,Puerto CortÈs SEMAR,BCS,0
YEEMR,-98.858333,18.891667,Yecapixtla ETA 118,MOR,18.71
BCRSO,-108.931667,30.355278,Bacerac,SON,0
LMTHD,-98.757222,20.591667,Metztitl·n,HGO,10.24
ACTOPANVER,-96.583333,19.495278,Actopan SGT,VER,3
COBREGONCFE,-93.466944,16.441389,CristÛbal ObregÛn CFE,CHIS,6.5
MAGCH,-107.994167,27.858611,Maguarichi SMN,CHIH,0
AOBSO,-109.8925,27.8225,√lvaro ObregÛn,SON,0
SONOYTA,-112.846389,31.865278,Sonoyta SMN,SON,0.2
AGCSO,-109.887778,27.75,Agua Caliente,SON,0
TLPGR,-98.6,17.5,Tlapa,GRO,0
PTQSO,-112.116667,30.697778,Pitiquito,SON,0
PINACATE,-113.304722,31.68,El Pinacate SMN,SON,0
