clave,lat,lon,estacion,edo,abr-23
LAUVC,-95.35,18.25,Lauchapan,VER,54.31
LBABS,-109.697222,23.680556,Los Barriles,BCS,0
LBQCH,-105.414167,27.544722,La Boquilla,CHIH,0
LBUZC,-102.566944,22.778889,Observatorio de Zacatecas,ZAC,0
LCAVC,-94.330833,18.109444,La Cangrejera,VER,57.52
LCDSO,-109.378889,30.437778,L·zaro C·rdenas,SON,0
LCRDR,-105.015833,25.594167,L·zaro C·rdenas,DGO,0.02
LCRSI,-106.9,23.916667,La Cruz,SIN,0
LCUMR,-98.914444,18.683611,La Cuera,MOR,7.41
LDACM,-103.774167,18.809167,Laguna de Amela,COL,0
LDCGR,-100.018056,16.958333,Laguna de Coyuca,GRO,0
LDCJL,-103.201667,20.290556,Lago de Chapala,JAL,0
LDCSI,-108.367778,26.844722,Luis Donaldo Colosio,SIN,0
LDCVC,-95.118333,18.415833,Canseco,VER,8.11
LDGGR,-99.235,16.76,Las Vigas,GRO,0
LDMJL,-101.919722,21.359722,Lagos de Moreno,JAL,0
LDYGJ,-101.073056,20.286944,Laguna de Yuriria,GTO,0
LENGJ,-101.693333,21.136389,LeÛn,GTO,0
LFLDR,-103.283889,25.068056,La Flor,DGO,0
LFLZC,-103.603056,22.686944,La Florida,ZAC,0.01
LGRVC,-97.231944,18.922778,Loma Grande,VER,1
LGVGJ,-100.883611,20.398333,Puente la Gavia,GTO,0
LIBPB,-97.691111,19.457222,Libres,PUE,19.005
LIBVC,-96.978333,20.051944,Libertad,VER,287.07
LJIGJ,-101.358889,20.276111,Las JÌcamas,GTO,10.45
LJSCH,-107.025833,29.88,Las Lajas,CHIH,0
LLBZC,-102.660556,22.996944,Llano Blanco,ZAC,0
LLNCH,-105.28,28.984444,Ing. Luis L. LeÛn,CHIH,0
LOBZC,-103.382778,22.845278,Manuel Felgueres,ZAC,0
LOFVC,-96.411111,19.261389,Loma Fina,VER,11.01
LOLMC,-102.865556,19.210833,Los Olivos,MICH,0
LORZC,-101.985556,22.264722,Loreto,ZAC,0
LPDMC,-102.004444,20.354444,La Piedad,MICH,0
LPEVC,-94.916667,17.416667,Las Perlas,VER,57
LPSCM,-103.725278,19.223333,La Posta,COL,0
LPSMC,-102.2,18.8,La PastorÌa ,MICH,0
LPZBS,-110.366667,24.15,Observatorio de La Paz,BCS,0
LQMGJ,-101.107778,21.324167,La Quemada,GTO,2.5
LREZC,-103.216944,23.18,Gobernador Leobardo Reynoso,ZAC,9.6
LRTBS,-111.349167,26.011667,Observatorio de Loreto,BCS,0
LSRTP,-99.120556,22.852778,La Servilleta,TAMPS,33.71
LVRVC,-97.1,19.65,Las Vigas de RamÌrez,VER,67
MABGJ,-101.931111,20.507222,Mariano Abasolo,GTO,0
MACTB,-92.6,17.766667,Macuspana,TAB,0
MAGTP,-99.551111,24.566667,Magueyes,TAMPS,113.81
MAJALCA,-106.486111,28.803333,Cumbres de Majalca SMN,CHIH,3
MALCP,-93.598889,17.178611,NezahualcÛyotl,CHIS,0.37
MAPCP,-92.883333,15.45,Mapastepec,CHIS,10.1
MAPIMI,-103.7475,26.686389,MapimÌ SMN,DGO,0
