LON,LAT,EDO,CLAVE,ESTACION,jun-23
-99.3,19.41,MEX,CDBMX,"CaÌda del Borracho, MÈx.",0
-99.3,19.41,MEX,CDELBORRACHO,"CaÌda del Borracho SACMEX, MÈx.",0
-99.51,19.21,MEX,CGCMX,"Gerencia Conagua CODAGEM, MÈx.",36.82
-99.04,19.59,MEX,CHICONAUTLAI,"Chiconautla 1 SACMEX, MÈx.",10.41
-99.11,19.52,MEX,CHICONAUTLAII,"Chiconautla 2 SACMEX, MÈx.",0
-100.15,19.35,MEX,CHIMX,"Chilesdo, MÈx.",19.3
-99.3,19.7,MEX,CNPMX,"La ConcepciÛn, MÈx.",16.2
-99.63,19.29,MEX,COBMX,"Observatorio de Toluca, MÈx.",52.61
-100.23,19.18,MEX,COLMX,"Colorines, MÈx.",21
-99.56,19.88,MEX,DNXMX,"DanxhÛ, MÈx.",17
-99.33,19.38,MEX,ELVENADO,"El Venado SACMEX, MÈx.",7.37
-99.25,19.64,MEX,GDLMX,"Sierra de Guadalupe, MÈx.",14
-99.7,20.05,MEX,HPNMX,"Huapango, MÈx.",4.01
-100.08,19.38,MEX,LBEMX,"Los Berros, MÈx.",15.92
-99.68,19.12,MEX,NEVMX,"Nevado de Toluca SMN, MÈx.",55.61
-99.42,18.99,MEX,OCUMX,"Ocuil·n de Arteaga, MÈx",34.04
-99.25,19.43,MEX,PALMASDF,"Palmas SACMEX, MÈx.",65.02
-99.18,19.58,MEX,PBTMX,"Planta de bombeo Barrientos, MÈx.",22.87
-99.03,19.65,MEX,PCCMX,"Planta Chiconautla 2, MÈx.",0
-99.01,19.64,MEX,PCTMX,"Planta Chiconautla 1, MÈx.",11.43
-99.79,19.83,MEX,PFBMX,"Francisco JosÈ Trinidad Fabela, MÈx.",15
-99.78,19.46,MEX,PIRMX,"Ignacio RamÌrez, MÈx.",40.01
-99.26,19.53,MEX,PMDMX,"MadÌn, MÈx.",31.8
-99.95,19.65,MEX,PMEMX,"Puente Mextepec, MÈx.",19.82
-99.74,20.12,MEX,PMNMX,"El Molino, MÈx.",6.02
-99.86,20.04,MEX,PNDMX,"—adÛ, MÈx.",5
-99.27,19.52,MEX,PREMX,"Presa MadÌn SMN, MÈx.",0
-99.7,19.47,MEX,SB2MX,"San BernabÈ, Mex.",16.3
-99.7,19.47,MEX,SBBMX,"JosÈ Antonio Alzate, MÈx.",18.3
-99.76,19.24,MEX,SJHMX,"San Juan de las Huertas, MÈx.",128.2
-99.74,19.59,MEX,SLBMX,"San Bartolo del Llano, MÈx.",28
-99.8,19.63,MEX,SMLMX,"Santa MarÌa del Llano, MÈx.",85.01
-99.8,19.34,MEX,TBRMX,"Tres Barrancas, MÈx.",45.72
-99.94,18.93,MEX,TESMX,"Texcaltitl·n, MÈx.",38.51
-99.91,19.86,MEX,TJCMX,"El Tejocote, MÈx.",21.03
-100.05,19.06,MEX,TMSMX,"Temascaltepec, Mex.",69.2
-99.96,19.66,MEX,TPTMX,"San AndrÈs Tepetitl·n, MÈx.",19.82
-99.61,19.43,MEX,TROMX,"Trojes, MÈx.",29.04
-100.08,19.38,MEX,VALLEDEBRAVO,"Valle de Bravo SGT, MÈx.",12.6
-99.21,19.51,MEX,VASOCRISTO,"Vaso de Cristo SACMEX, MÈx.",0
-100.18,19.21,MEX,VBRMX,"Valle de Bravo, MÈx.",24.1
-99.21,19.51,MEX,VDCDF,"Vaso de Cristo, MÈx.",0
-99.33,19.38,MEX,VNDMX,"El Venado, MÈx.",7.37
-100.06,19.46,MEX,VVCMX,"Villa Victoria, MÈx.",19.5
-100.61,19.58,MICH,AGOMC,"Agostitl·n, Mich.",6.7
-101.66,19.93,MICH,AMEMC,"Aristeo Mercado, Mich.",16.5
-102.37,19.08,MICH,APTMC,"Apatzing·n, Mich.",12.3
-102.42,20.18,MICH,BIBMC,"Barraje de Ibarra, Mich.",30.01
-101.46,20.32,MICH,CBLMC,"Casa Blanca, Mich.",20.31
-102.27,19.97,MICH,CHAMC,"Chaparaco, Mich.",37.3
-100.55,19.7,MICH,CHIMC,"Ciudad Hidalgo, Mich.",6.8
-101.26,19.63,MICH,COIMC,"CoÌntzio, Mich.",32.1
-101.86,20.21,MICH,CORMC,"Corrales, Mich.",11.02
-100.42,19.39,MICH,DBOMC,"El Bosque, Mich.",43.1
-102.54,19.98,MICH,GUAMC,"Guaracha, Mich.",31
-101.88,18.27,MICH,INFMC,"Infiernillo, Mich.",9.12
-101.63,20.25,MICH,LANMC,"Los ¡ngeles, Mich.",13.2
-102.87,19.21,MICH,LOLMC,"Los Olivos, Mich.",30.8
-102,20.35,MICH,LPDMC,"La Piedad, Mich.",11.81
-101.1,19.7,MICH,MCEMC,"Morelia Centro, Mich.",60.81
-100.87,19.83,MICH,MLPMC,"MalpaÌs, Mich.",37.41
-101.2,19.7,MICH,MNOMC,"Morelia Norte, Mich.",49.61
-101.72,20.13,MICH,MOCMC,"Melchor Ocampo, Mich.",16.02
