LON,LAT,EDO,CLAVE,ESTACION,oct-23
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",404.4
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",787.8
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",1323.4
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",285.5
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",219.2
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",1205.5
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",1043.5
-92.362778,15.184444,CHIS,FSCCP,"Finca San Cristóbal, Chis.",1101
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",179.7
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",607.8
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",748.3
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",372.5
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",593.11
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",236
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",211.6
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",136.6
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",132.6
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",82.6
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",142.8
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",513.9
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",206
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",112.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",278.47
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",128
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",46
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",114.8
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",72
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",394
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",517.65
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",478.2
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",601.8
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",100.8
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",105.4
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",105.4
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",71.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",335.1
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",158.7
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",384.1
-93.989722,16.470833,CHIS,RSACP,"Rosendo Salazar, Chis.",76.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",435.2
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",121.1
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",262.3
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",300.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",247
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",264
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",138.3
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",735.4
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",18.4
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",475.7
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",326.51
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",110.3
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",593.21
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",77.3
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",113.9
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",541.4
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",114.34
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",688
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",178.5
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",114.8
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",22
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",73.01
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",125.5
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",84
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",86.03
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",67.32
