LON,LAT,EDO,CLAVE,ESTACION,may_23
-101.29,20.87,GTO,PRSGJ,"La PurÌsima, Gto.",12.52
-101.22,21.48,GTO,SFEGJ,"San Felipe, Gto.",29.8
-99.83,21.32,GTO,SGORDAII,"Sierra Gorda 2 SMN, Gto.",61.6
-101.02,20.4,GTO,SJLGJ,"Santa Julia, Gto.",6.7
-101.2,20.57,GTO,SLMGJ,"Salamanca, Gto.",10.64
-100.67,20.06,GTO,SLSGJ,"SolÌs, Gto.",16.12
-100.89,20.22,GTO,SLVGJ,"Salvatierra, Gto.",33.34
-101.02,20.43,GTO,SMAGJ,"San Miguel de Allende, Gto.",12.51
-100.75,20.58,GTO,SMOGJ,"San Miguel Octopan, Gto.",18.5
-101.07,20.3,GTO,SRTGJ,"Santa Rita, Gto.",11.62
-101.3,20.6,GTO,TEMGJ,"TemascatÌo, Gto.",16.05
-101.18,20.38,GTO,VDSGJ,"Valle de Santiago, Gto.",27.5
-100.09,21.3,GTO,XICGJ,"Xich˙, Gto.",52.83
-98.94,20.27,HGO,ACTHD,"Actopan, Hgo.",102
-98.35,21.02,HGO,ATCHD,"Atlapexco, Hgo.",147
-98.72,20.19,HGO,ELCHICO,"El Chico SMN, Hgo.",69.6
-99.36,20.16,HGO,ENDHD,"EndhÛ, Hgo.",75.5
-98.08,20.46,HGO,HHTHD,"Huehuetla, Hgo.",55.9
-98.42,21.15,HGO,HJTHD,"Huejutla, Hgo.",182.6
-99.22,20.48,HGO,IXMHD,"Ixmiquilpan, Hgo.",73
-98.13,20.14,HGO,LAGUNA,"La Laguna FENIX, Hgo.",44.9
-98.13,20.14,HGO,LLAHD,"La Laguna, Hgo.",5.25
-98.76,20.59,HGO,LMTHD,"Metztitl·n, Hgo.",52.79
-99.22,20.24,HGO,MXQHD,"Mixquiahuala, Hgo.",54.5
-98.6,21.17,HGO,ORZHD,"San Felipe Orizatl·n, Hgo.",406.01
-98.75,20.12,HGO,PCOHD,"Observatorio de Pachuca, Hgo.",155.8
-98.33,20.06,HGO,PERHD,"La Esperanza, Hgo.",104.12
-99.33,20.36,HGO,PRGHD,"Javier Rojo GÛmez, Hgo.",41.1
-99.31,19.96,HGO,PRQHD,"RequeÒa, Hgo.",48
-99.38,20.44,HGO,PVAHD,"Vicente Aguirre, Hgo.",33
