"ID_VIV","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P1_1","P2_1","P2_2","P2_3","P2_4","FAC_VIV","DOMINIO","UPM_DIS","EST_DIS"
"0102225.01","0102225","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","5275.2503190262","U","0010","0003"
"0102225.02","0102225","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","2","01","1","","","5275.2503190262","U","0010","0003"
"0102225.03","0102225","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","5275.2503190262","U","0010","0003"
"0102225.04","0102225","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","5275.2503190262","U","0010","0003"
"0102225.05","0102225","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","05","1","","","5275.2503190262","U","0010","0003"
"0204827.01","0204827","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","9268.33881666044","U","0011","0004"
"0204827.02","0204827","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","9268.33881666044","U","0011","0004"
"0204827.03","0204827","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","9268.33881666044","U","0011","0004"
"0204827.04","0204827","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","9268.33881666044","U","0011","0004"
"0204827.05","0204827","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","9268.33881666044","U","0011","0004"
"0205052.01","0205052","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","01","1","","","8693.37983299664","U","0012","0004"
"0205052.02","0205052","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","8693.37983299664","U","0012","0004"
"0205052.03","0205052","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","08","1","","","8693.37983299664","U","0012","0004"
"0205052.04","0205052","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","8693.37983299664","U","0012","0004"
"0205052.05","0205052","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","8693.37983299664","U","0012","0004"
"0205741.01","0205741","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","06","1","","","11869.7973632002","U","0013","0005"
"0205741.02","0205741","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","11869.7973632002","U","0013","0005"
"0205741.03","0205741","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","01","1","","","11869.7973632002","U","0013","0005"
"0205741.04","0205741","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","11869.7973632002","U","0013","0005"
"0205741.05","0205741","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","11869.7973632002","U","0013","0005"
"0206001.01","0206001","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","9015.22746791296","U","0014","0005"
"0206001.02","0206001","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","9015.22746791296","U","0014","0005"
"0206001.03","0206001","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","9015.22746791296","U","0014","0005"
"0206001.04","0206001","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","9015.22746791296","U","0014","0005"
"0206001.05","0206001","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","06","2","02","03","9015.22746791296","U","0014","0005"
"0206517.01","0206517","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","11939.2829700751","U","0015","0006"
"0206517.03","0206517","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","11939.2829700751","U","0015","0006"
"0206517.04","0206517","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","11939.2829700751","U","0015","0006"
"0206517.05","0206517","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","11939.2829700751","U","0015","0006"
"0206734.01","0206734","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","11226.3400845618","U","0386","0006"
"0206734.05","0206734","05","02","BAJA CALIFORNIA","004","TIJUANA","01","2","01","1","","","11226.3400845618","U","0386","0006"
"0207463.01","0207463","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","12198.0804062163","U","0016","0005"
"0207463.03","0207463","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","12198.0804062163","U","0016","0005"
"0207463.04","0207463","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","12198.0804062163","U","0016","0005"
"0207463.05","0207463","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","12198.0804062163","U","0016","0005"
"0208092.01","0208092","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","9534.09763577615","U","0017","0004"
"0208092.02","0208092","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","9534.09763577615","U","0017","0004"
"0208092.03","0208092","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","9534.09763577615","U","0017","0004"
"0208092.04","0208092","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","9534.09763577615","U","0017","0004"
"0208092.05","0208092","05","02","BAJA CALIFORNIA","004","TIJUANA","01","2","02","1","","","9534.09763577615","U","0017","0004"
"0208367.01","0208367","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","10655.4393740335","U","0018","0005"
"0208367.02","0208367","02","02","BAJA CALIFORNIA","004","TIJUANA","01","3","01","1","","","10655.4393740335","U","0018","0005"
"0208367.03","0208367","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","10655.4393740335","U","0018","0005"
"0208367.04","0208367","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","10655.4393740335","U","0018","0005"
"0208367.05","0208367","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","10655.4393740335","U","0018","0005"
"0208395.01","0208395","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","05","1","","","9148.74734805837","U","0406","0004"
"0208395.02","0208395","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","09","1","","","9148.74734805837","U","0406","0004"
"0208395.03","0208395","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","9148.74734805837","U","0406","0004"
"0208395.04","0208395","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","9148.74734805837","U","0406","0004"
"0208437.01","0208437","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","12071.4911855827","U","0452","0005"
"0208437.02","0208437","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","12071.4911855827","U","0452","0005"
"0208437.03","0208437","03","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","12071.4911855827","U","0452","0005"
"0208437.04","0208437","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","12071.4911855827","U","0452","0005"
"0208437.05","0208437","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","03","1","","","12071.4911855827","U","0452","0005"
"0208795.01","0208795","01","02","BAJA CALIFORNIA","004","TIJUANA","01","1","01","1","","","13277.306061549","U","0019","0006"
"0208795.02","0208795","02","02","BAJA CALIFORNIA","004","TIJUANA","01","1","04","1","","","13277.306061549","U","0019","0006"
"0208795.04","0208795","04","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","13277.306061549","U","0019","0006"
"0208795.05","0208795","05","02","BAJA CALIFORNIA","004","TIJUANA","01","1","02","1","","","13277.306061549","U","0019","0006"
"0300411.01","0300411","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","05","1","","","2288.71523275723","U","0441","0008"
"0300411.02","0300411","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","2288.71523275723","U","0441","0008"
"0300411.03","0300411","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2288.71523275723","U","0441","0008"
"0300411.04","0300411","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2288.71523275723","U","0441","0008"
"0300411.05","0300411","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","2288.71523275723","U","0441","0008"
"0300412.01","0300412","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","1897.53949520038","U","0020","0007"
"0300412.02","0300412","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","1897.53949520038","U","0020","0007"
"0300412.03","0300412","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","1897.53949520038","U","0020","0007"
"0300412.04","0300412","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","1897.53949520038","U","0020","0007"
"0300504.01","0300504","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","2055.50870367909","U","0021","0007"
"0300504.02","0300504","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2055.50870367909","U","0021","0007"
"0300504.03","0300504","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2055.50870367909","U","0021","0007"
"0300504.04","0300504","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","2055.50870367909","U","0021","0007"
"0300577.01","0300577","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","02","1","","","2393.01278108402","U","0022","0007"
"0300577.02","0300577","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","03","1","","","2393.01278108402","U","0022","0007"
"0300577.03","0300577","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","02","1","","","2393.01278108402","U","0022","0007"
"0300577.04","0300577","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","04","1","","","2393.01278108402","U","0022","0007"
